DateTime,cpu %user,cpu %nice,cpu %sys,cpu %iowait,cpu %steal,%idle,Total Memory,Used Memory,Free Memory,Shared Memory,Buffers Memory,Cached Memory,Load-1Min,Load-5Min,Load-15Min,Server Status
09-04-2019 11:55,17.77,0,12.69,0,0,69.54,7823,5566,574,283,1682,1608,1.02,0.62,0.54,Warning
09-04-2019 12:00,4.02,0,10.05,0,0,85.93,7823,5424,715,283,1683,1750,0.97,0.85,0.66,Warning
09-04-2019 12:05,52.74,0,14.43,0,0,32.84,7823,5554,584,283,1684,1621,0.23,0.6,0.63,Warning
09-04-2019 12:10,4.57,0,8.63,0,0,86.8,7823,5749,383,283,1689,1422,0.51,0.6,0.62,Critical
09-04-2019 12:16,16.67,0,9.6,0,0,73.74,7823,5345,791,283,1685,1831,0.14,0.44,0.56,Warning
09-04-2019 12:25,3.05,0,7.11,0,0,89.85,7823,5345,788,283,1688,1830,0.15,0.48,0.58,Warning
09-04-2019 12:30,49.25,0,22.39,0,0,28.36,7823,5594,535,283,1692,1579,0.3,0.47,0.56,Warning
09-04-2019 12:35,0.51,0,1.53,0,0,97.96,7823,5762,363,283,1697,1409,0.19,0.44,0.54,Critical
09-04-2019 12:40,7.5,0,20,0,0,72.5,7823,5491,633,283,1698,1682,0.52,0.7,0.63,Warning
09-04-2019 12:45,4.57,0,12.18,0,0,83.25,7823,5814,304,283,1703,1355,1.74,1.04,0.77,Critical
09-04-2019 12:50,6.06,0,11.11,0,0,82.83,7823,5713,406,283,1703,1459,0.44,0.69,0.7,Critical
09-04-2019 12:55,4.08,0,7.14,0,0,88.78,7823,5642,476,283,1704,1530,0.96,0.61,0.65,Critical
09-04-2019 13:00,5.05,0,8.59,0,0,86.36,7823,5972,333,283,1517,1194,1.46,0.86,0.73,Critical
09-04-2019 13:05,4.1,0,8.21,0,0,87.69,7823,5450,858,283,1514,1723,0.27,0.72,0.72,Warning
09-04-2019 13:10,4.57,0,9.14,0,0,86.29,7823,5474,834,283,1514,1700,0.34,0.71,0.74,Warning
09-04-2019 13:15,3.54,0,9.6,0,0,86.87,7823,5408,900,283,1514,1768,0.42,0.49,0.63,Warning
09-04-2019 13:20,3.52,0,6.53,0,0,89.95,7823,5447,859,283,1515,1729,0.27,0.45,0.58,Warning
09-04-2019 13:25,2.53,0,7.07,0,0,90.4,7823,5254,1054,283,1514,1924,0.07,0.31,0.49,Warning
09-04-2019 13:30,9.6,0,18.69,0,0,71.72,7823,5380,924,283,1517,1796,0.2,0.45,0.54,Warning
09-04-2019 13:35,4.06,0,9.14,0,0,86.8,7823,5175,1130,283,1516,2004,0.85,0.58,0.55,Warning
09-04-2019 13:40,3.54,0,7.07,0,0,89.39,7823,5097,1209,283,1516,2082,0.07,0.39,0.5,Warning
09-04-2019 13:45,3.03,0,7.58,0,0,89.39,7823,5240,1064,283,1518,1938,0.15,0.35,0.46,Warning
09-04-2019 13:50,2.01,0,6.53,0,0,91.46,7823,5160,1145,283,1517,2020,0.31,0.33,0.43,Warning
09-04-2019 13:55,3.55,0,8.12,0,0,88.32,7823,5069,1236,283,1517,2112,0.11,0.24,0.37,Normal
09-04-2019 14:00,4.02,0,7.04,0,0,88.94,7823,5188,1112,283,1521,1991,0.23,0.27,0.34,Warning
09-04-2019 14:05,2.54,0,6.6,0,0,90.86,7823,5281,1018,283,1523,1897,0.3,0.25,0.32,Warning
09-04-2019 14:10,5.1,0,11.73,0,0,83.16,7823,5489,805,283,1527,1686,0.98,0.55,0.41,Warning
09-04-2019 14:15,3,0,9,0,0,88,7823,5384,910,283,1527,1792,0.17,0.29,0.34,Warning
09-04-2019 14:20,6.03,0,8.04,0,0,85.93,7823,5341,953,283,1528,1835,0.29,0.39,0.38,Warning
09-04-2019 14:25,2.04,0,2.55,0,0,95.41,7823,5374,918,283,1530,1802,1,0.56,0.44,Warning
